,Year,Shares,Fuel,Weight (kg),Engine effect (kW),Prices (2015-DKK),key,Cost/km (DKK),Make,Fuel-size segment,kmL,Benzin,Diesel,El
54,2006,0.000249887,Diesel,2195,88.0,416328.271,opel-zafira-2006-Diesel,0.608383234,opel,DieselLarge,13.8,0,1,0
55,2006,0.00024512,Benzin,1904,75.0,256998.8318,seat-leon-2006-Benzin,0.919512195,seat,BenzinLarge,13.2,1,0,0
56,2006,0.000237174,Benzin,1600,79.0,233630.8411,suzuki-sx4-2006-Benzin,0.769387755,suzuki,BenzinSmall,14.7,1,0,0
57,2006,0.000199433,Benzin,1455,69.0,142516.3551,chevrolet-kalos-2006-Benzin,0.725,chevrolet,BenzinSmall,15.2,1,0,0
58,2006,0.000196652,Benzin,1600,74.0,239484.8131,ford-fusion-2006-Benzin,0.734415584,ford,BenzinSmall,13.2,1,0,0
59,2006,0.000195063,Benzin,1800,92.0,348125.0,volvo-s40-2006-Benzin,0.813669065,volvo,BenzinSmall,13.9,1,0,0
60,2006,0.000188309,Diesel,1875,66.0,193022.1963,peugeot-partner-2006-Diesel,0.549189189,peugeot,DieselSmall,18.5,0,1,0
61,2006,0.000186323,Diesel,2150,103.0,280367.9907,hyundai-sonata-2006-Diesel,0.619512195,hyundai,DieselLarge,16.4,0,1,0
62,2006,0.000184336,Diesel,1835,59.0,273586.4486,opel-astra-2006-Diesel,0.508,opel,DieselSmall,16.7,0,1,0
63,2006,0.000178377,Diesel,2005,77.0,313400.7009,seat-altea-2006-Diesel,0.555191257,seat,DieselSmall,18.3,0,1,0
64,2006,0.000176788,Benzin,1275,38.0,124992.9907,chevrolet-matiz-2006-Benzin,0.631843575,chevrolet,BenzinSmall,19.2,1,0,0
65,2006,0.000172021,Diesel,2990,171.0,1155310.748,audi-q7-2006-Diesel,1.069473684,audi,DieselLarge,9.5,0,1,0
66,2006,0.000161294,Benzin,1550,63.0,168212.6168,seat-ibiza-2006-Benzin,0.734415584,seat,BenzinSmall,15.4,1,0,0
67,2006,0.0001605,Diesel,2000,88.0,365832.9439,opel-vectra-2006-Diesel,0.601183432,opel,DieselSmall,17.5,0,1,0
68,2006,0.000159705,Diesel,1855,77.0,331744.1589,audi-a3-2006-Diesel,0.502970297,audi,DieselSmall,18.2,0,1,0
69,2006,0.000154541,Benzin,1546,81.0,244511.6822,nissan-note-2006-Benzin,0.711320755,nissan,BenzinSmall,15.2,1,0,0
70,2006,0.000153746,Benzin,1650,70.0,186910.0467,chevrolet-lacetti-2006-Benzin,0.80212766,chevrolet,BenzinSmall,13.9,1,0,0
71,2006,0.000130307,Benzin,2000,125.0,568925.2336,volvo-s60-2006-Benzin,1.077142857,volvo,BenzinLarge,11.4,1,0,0
72,2006,0.000130307,Diesel,1875,77.0,256998.8318,seat-leon-2006-Diesel,0.529166667,seat,DieselSmall,17.9,0,1,0
73,2006,0.000125539,Diesel,2600,136.0,1051865.654,volvo-xc90-2006-Diesel,0.915315315,volvo,DieselLarge,11.1,0,1,0
74,2006,0.000125539,Diesel,1850,81.0,204432.243,hyundai-matrix-2006-Diesel,0.537566138,hyundai,DieselSmall,19.2,0,1,0
75,2006,0.000117991,Benzin,1850,0.0,193022.1963,peugeot-partner-2006-Benzin,0.85037594,peugeot,BenzinLarge,13.3,1,0,0
76,2006,9.97e-05,Diesel,2175,136.0,549759.3458,volvo-v70-2006-Diesel,0.8,volvo,DieselLarge,12.7,0,1,0
77,2006,9.02e-05,Benzin,1985,115.0,327096.9626,chevrolet-epica-2006-Benzin,1.047222222,chevrolet,BenzinLarge,12.2,1,0,0
78,2006,8.58e-05,Benzin,1925,140.0,431017.5234,honda-accord-2006-Benzin,0.87,honda,BenzinLarge,11.1,1,0,0
79,2006,8.46e-05,Benzin,1925,75.0,313400.7009,seat-altea-2006-Benzin,0.876744186,seat,BenzinLarge,12.9,1,0,0
80,2006,7.83e-05,Benzin,2050,104.0,312471.9626,hyundai-tucson-2006-Benzin,0.9048,hyundai,BenzinLarge,12.5,1,0,0
81,2006,7.71e-05,Diesel,2505,96.0,605140.1869,ford-galaxy-2006-Diesel,0.65974026,ford,DieselLarge,15.4,0,1,0
82,2006,7.67e-05,Benzin,1670,77.0,248832.9439,skoda-roomster-2006-Benzin,0.769387755,skoda,BenzinSmall,14.7,1,0,0
83,2006,6.52e-05,Benzin,2000,169.0,401424.0654,subaru-forester-2006-Benzin,1.11980198,subaru,BenzinLarge,9.5,1,0,0
84,2006,5.52e-05,Benzin,1830,57.0,199433.4112,fiat-dobl-2006-Benzin,0.837777778,fiat,BenzinSmall,13.5,1,0,0
85,2006,4.57e-05,Benzin,2075,100.0,369100.4673,mitsubishi-outlander-2006-Benzin,1.077142857,mitsubishi,BenzinLarge,11.0,1,0,0
86,2006,4.21e-05,Diesel,2190,100.0,589370.3271,toyota-rav4-2006-Diesel,0.668421053,toyota,DieselLarge,15.2,0,1,0
87,2006,3.3e-05,Benzin,1660,147.0,943101.6355,audi-tt-2006-Benzin,0.87,audi,BenzinSmall,10.6,1,0,0
88,2006,3.1e-05,Benzin,2600,320.0,1857473.131,audi-s6-2006-Benzin,1.508,audi,BenzinLarge,7.5,1,0,0
89,2006,0.000355563,Benzin,1850,80.0,285997.6636,citron-berlingo-2006-Benzin,0.85037594,citron,BenzinLarge,13.5,1,0,0
90,2006,0.000268956,Diesel,1875,66.0,285997.6636,citron-berlingo-2006-Diesel,0.549189189,citron,DieselSmall,18.5,0,1,0
91,2006,0.000830308,Benzin,1200,50.0,151855.1402,citron-c1-2006-Benzin,0.521198157,citron,BenzinSmall,21.7,1,0,0
92,2006,0.000409195,Benzin,1510,54.0,220147.1963,citron-c3-2006-Benzin,0.689634146,citron,BenzinSmall,16.1,1,0,0
93,2006,0.000391715,Benzin,2016,103.0,396015.1869,citron-c5-2006-Benzin,0.856818182,citron,BenzinLarge,12.5,1,0,0
94,2006,0.000413565,Diesel,1950,100.0,399288.5514,citron-c5-2006-Diesel,0.549189189,citron,DieselSmall,14.1,0,1,0
95,2006,0.000141033,Benzin,1510,74.0,212703.271,mazda-2-2006-Benzin,0.744078947,mazda,BenzinSmall,15.2,1,0,0
96,2006,0.000409592,Benzin,2100,107.0,241779.2056,mazda-5-2006-Benzin,0.92704918,mazda,BenzinLarge,12.7,1,0,0
97,2006,0.000191885,Benzin,1175,46.0,129108.6449,suzuki-alto-2006-Benzin,0.554411765,suzuki,BenzinSmall,20.4,1,0,0
98,2006,4.17e-05,Diesel,2265,160.0,1005734.813,bmw-x3-2006-Diesel,0.730935252,bmw,DieselLarge,13.0,0,1,0
99,2006,8.78e-05,Benzin,1828,77.0,229226.6355,chevrolet-tacuma-2006-Benzin,0.9048,chevrolet,BenzinSmall,12.5,1,0,0
100,2006,4.01e-05,Benzin,1725,375.0,4549065.421,ferrari-f430-2006-Benzin,2.056363636,ferrari,BenzinSmall,5.6,1,0,0
101,2006,1.87e-05,Diesel,1890,103.0,315359.8131,honda-civic-2006-Diesel,0.537566138,honda,DieselSmall,18.9,0,1,0
102,2006,3.58e-05,Benzin,1775,77.0,231320.0935,hyundai-elantra-2006-Benzin,0.80212766,hyundai,BenzinSmall,13.2,1,0,0
103,2006,3.34e-05,Benzin,2075,219.0,1973787.383,jaguar-xk-2006-Benzin,1.285227273,jaguar,BenzinLarge,8.0,1,0,0
104,2006,6.83e-05,Diesel,1485,55.0,123831.7757,kia-picanto-2006-Diesel,0.447577093,kia,DieselSmall,22.7,0,1,0
105,2006,3.14e-05,Benzin,1575,85.0,330607.4766,mini-cooper-2006-Benzin,0.825547445,mini,BenzinSmall,14.5,1,0,0
106,2006,9.14e-05,Benzin,1600,54.0,210268.6916,peugeot-1007-2006-Benzin,0.744078947,peugeot,BenzinSmall,15.2,1,0,0
107,2006,3.26e-05,Diesel,1575,50.0,210268.6916,peugeot-1007-2006-Diesel,0.447577093,peugeot,DieselSmall,22.7,0,1,0
108,2006,4.53e-05,Diesel,1225,40.0,144848.1308,peugeot-107-2006-Diesel,0.416393443,peugeot,DieselSmall,24.4,0,1,0
109,2006,1.87e-05,Diesel,2500,100.0,601653.0374,peugeot-807-2006-Diesel,0.741605839,peugeot,DieselLarge,13.5,0,1,0
110,2006,3.54e-05,Benzin,1640,80.0,210163.5514,rover-45-2006-Benzin,0.958474576,rover,BenzinSmall,14.3,1,0,0
111,2006,3.65e-05,Diesel,2050,81.0,461863.3178,seat-toledo-2006-Diesel,0.601183432,seat,DieselSmall,16.6,0,1,0
112,2006,3.34e-05,Diesel,1775,77.0,248832.9439,skoda-roomster-2006-Diesel,0.549189189,skoda,DieselSmall,18.9,0,1,0
113,2006,3.42e-05,Diesel,2103,103.0,508176.4019,skoda-superb-2006-Diesel,0.638993711,skoda,DieselLarge,15.9,0,1,0
114,2006,0.000101306,Diesel,1250,40.0,147075.9346,toyota-aygo-2006-Diesel,0.416393443,toyota,DieselSmall,24.4,0,1,0
115,2006,3.93e-05,Diesel,1960,132.0,379082.9439,volvo-v50-2006-Diesel,0.587283237,volvo,DieselSmall,20.0,0,1,0
116,2007,0.001737717,Benzin,1475,68.0,152686.5672,suzuki-swift-2007-Benzin,0.752597403,suzuki,BenzinSmall,16.1,1,0,0
117,2007,0.001342386,Benzin,1585,59.0,144606.1998,opel-corsa-2007-Benzin,0.673837209,opel,BenzinSmall,17.2,1,0,0
118,2007,0.001189151,Diesel,1995,77.0,300804.822,skoda-octavia-2007-Diesel,0.568681319,skoda,DieselSmall,20.4,0,1,0
119,2007,0.001155187,Benzin,1500,47.0,157289.3226,skoda-fabia-2007-Benzin,0.685798817,skoda,BenzinSmall,14.5,1,0,0
120,2007,0.001130306,Benzin,1820,95.0,370445.465,toyota-avensis-2007-Benzin,0.83381295,toyota,BenzinSmall,13.9,1,0,0
121,2007,0.00110582,Diesel,1660,66.0,185982.7784,peugeot-207-2007-Diesel,0.466216216,peugeot,DieselSmall,21.7,0,1,0
122,2007,0.001060797,Benzin,1190,50.0,120539.6096,peugeot-107-2007-Benzin,0.534101382,peugeot,BenzinSmall,23.3,1,0,0
123,2007,0.00101064,Diesel,2127,100.0,310010.333,peugeot-407-2007-Diesel,0.578212291,peugeot,DieselLarge,18.9,0,1,0
124,2007,0.000993263,Diesel,1525,50.0,167611.9403,peugeot-206-2007-Diesel,0.444206009,peugeot,DieselSmall,23.3,0,1,0
125,2007,0.00098497,Benzin,2035,81.0,369122.8473,toyota-corolla-2007-Benzin,0.891538462,toyota,BenzinLarge,13.9,1,0,0
126,2007,0.000956534,Benzin,1640,65.0,185982.7784,peugeot-207-2007-Benzin,0.742948718,peugeot,BenzinSmall,15.6,1,0,0
127,2007,0.000876757,Benzin,2090,107.0,348016.0735,ford-mondeo-2007-Benzin,0.912598425,ford,BenzinLarge,13.5,1,0,0
128,2007,0.000842793,Diesel,2475,171.0,1156227.325,audi-a6-2007-Diesel,0.892241379,audi,DieselLarge,11.9,0,1,0
129,2007,0.000834499,Benzin,1200,50.0,118417.9104,toyota-aygo-2007-Benzin,0.534101382,toyota,BenzinSmall,21.7,1,0,0
130,2007,0.000816332,Diesel,2000,66.0,247203.2147,peugeot-307-2007-Diesel,0.528061224,peugeot,DieselSmall,17.9,0,1,0
131,2007,0.000812778,Benzin,1460,55.0,167848.4501,mitsubishi-colt-2007-Benzin,0.673837209,mitsubishi,BenzinSmall,16.1,1,0,0
132,2007,0.000805669,Diesel,1525,64.0,183903.5591,toyota-yaris-2007-Diesel,0.466216216,toyota,DieselSmall,22.2,0,1,0
133,2007,0.000785132,Diesel,1970,93.0,370445.465,toyota-avensis-2007-Diesel,0.612426036,toyota,DieselSmall,17.2,0,1,0
134,2007,0.000784737,Benzin,1715,132.0,227898.9667,opel-astra-2007-Benzin,0.706707317,opel,BenzinSmall,13.2,1,0,0
135,2007,0.000771704,Benzin,2240,130.0,643582.0896,audi-a6-2007-Benzin,1.016666667,audi,BenzinLarge,12.7,1,0,0
136,2007,0.000753537,Benzin,1550,71.0,131483.3525,hyundai-getz-2007-Benzin,0.777852349,hyundai,BenzinSmall,18.2,1,0,0
137,2007,0.000739714,Diesel,2200,92.0,348016.0735,ford-mondeo-2007-Diesel,0.642857143,ford,DieselLarge,17.2,0,1,0
138,2007,0.000731816,Diesel,1665,55.0,152003.4443,fiat-punto-2007-Diesel,0.466216216,fiat,DieselSmall,22.2,0,1,0
139,2007,0.000720363,Diesel,1685,51.0,157289.3226,skoda-fabia-2007-Diesel,0.507352941,skoda,DieselSmall,21.7,0,1,0
140,2007,0.000692322,Benzin,1875,108.0,332950.6315,mazda-6-2007-Benzin,0.9272,mazda,BenzinLarge,9.8,1,0,0
141,2007,0.000656383,Benzin,1820,74.0,272817.4512,ford-focus-2007-Benzin,0.777852349,ford,BenzinSmall,13.3,1,0,0
142,2007,0.000652039,Benzin,1975,103.0,247203.2147,peugeot-307-2007-Benzin,0.912598425,peugeot,BenzinLarge,13.0,1,0,0
143,2007,0.000649274,Diesel,1875,66.0,272817.4512,ford-focus-2007-Diesel,0.485915493,ford,DieselSmall,21.3,0,1,0
144,2007,0.00064414,Benzin,1600,48.0,152003.4443,fiat-punto-2007-Benzin,0.685798817,fiat,BenzinSmall,17.5,1,0,0
145,2007,0.00064256,Benzin,2280,103.0,540618.8289,volvo-v70-2007-Benzin,1.182653061,volvo,BenzinLarge,10.9,1,0,0
146,2007,0.000601092,Benzin,1350,48.0,102556.8312,kia-picanto-2007-Benzin,0.591326531,kia,BenzinSmall,20.0,1,0,0
147,2007,0.000596353,Benzin,2100,93.0,299090.7003,mazda-5-2007-Benzin,0.95,mazda,BenzinLarge,12.2,1,0,0
148,2007,0.000575421,Benzin,1960,120.0,459142.3651,audi-a4-2007-Benzin,0.821985816,audi,BenzinLarge,10.5,1,0,0
149,2007,0.000561993,Diesel,1820,85.0,219745.1206,kia-ceed-2007-Diesel,0.485915493,kia,DieselSmall,21.3,0,1,0
150,2007,0.00055054,Benzin,1650,79.0,200912.744,suzuki-liana-2007-Benzin,0.799310345,suzuki,BenzinSmall,14.5,1,0,0
151,2007,0.000527239,Benzin,1475,69.0,153530.4248,suzuki-ignis-2007-Benzin,0.752597403,suzuki,BenzinSmall,15.4,1,0,0
152,2007,0.00052329,Benzin,1300,44.0,133171.0677,fiat-panda-2007-Benzin,0.647486034,fiat,BenzinSmall,18.2,1,0,0
153,2007,0.000484191,Benzin,1670,79.0,200907.0034,suzuki-sx4-2007-Benzin,0.821985816,suzuki,BenzinSmall,14.7,1,0,0
154,2007,0.000478662,Benzin,1480,51.0,183903.5591,toyota-yaris-2007-Benzin,0.694011976,toyota,BenzinSmall,16.7,1,0,0
155,2007,0.000474318,Benzin,1525,59.0,142350.1722,ford-fiesta-2007-Benzin,0.719875776,ford,BenzinSmall,16.1,1,0,0
156,2007,0.000446277,Benzin,1885,206.0,343781.8599,opel-vectra-2007-Benzin,0.845985401,opel,BenzinLarge,13.2,1,0,0
157,2007,0.000428505,Benzin,1700,110.0,252212.3995,mazda-3-2007-Benzin,0.83381295,mazda,BenzinSmall,12.7,1,0,0
158,2007,0.000422581,Diesel,2040,103.0,459142.3651,audi-a4-2007-Diesel,0.631097561,audi,DieselSmall,17.2,0,1,0
159,2007,0.000421791,Benzin,1865,75.0,398459.2423,audi-a3-2007-Benzin,0.845985401,audi,BenzinLarge,13.5,1,0,0
160,2007,0.000405204,Diesel,1675,55.0,144606.1998,opel-corsa-2007-Diesel,0.476958525,opel,DieselSmall,22.2,0,1,0
161,2007,0.000403624,Benzin,1275,51.0,109784.1561,ford-ka-2007-Benzin,0.685798817,ford,BenzinSmall,16.9,1,0,0
162,2007,0.000401255,Benzin,1690,77.0,326063.1458,skoda-roomster-2007-Benzin,0.81048951,skoda,BenzinSmall,14.7,1,0,0
163,2007,0.000396515,Diesel,2000,88.0,343781.8599,opel-vectra-2007-Diesel,0.612426036,opel,DieselSmall,16.9,0,1,0
164,2007,0.000390986,Diesel,1800,66.0,227898.9667,opel-astra-2007-Diesel,0.485915493,opel,DieselSmall,20.8,0,1,0
165,2007,0.000381508,Benzin,1925,85.0,300804.822,skoda-octavia-2007-Benzin,0.839855072,skoda,BenzinLarge,13.6,1,0,0
166,2007,0.000370055,Diesel,3115,240.0,1154987.371,audi-q7-2007-Diesel,1.15,audi,DieselLarge,10.5,0,1,0
167,2007,0.000363736,Benzin,1950,155.0,310010.333,peugeot-407-2007-Benzin,1.063302752,peugeot,BenzinLarge,13.0,1,0,0
168,2007,0.000358602,Benzin,1750,103.0,309989.667,honda-civic-2007-Benzin,0.7625,honda,BenzinSmall,15.2,1,0,0
169,2007,0.000347148,Benzin,1800,76.0,200911.5959,hyundai-matrix-2007-Benzin,0.845985401,hyundai,BenzinSmall,13.7,1,0,0
170,2007,0.000343989,Diesel,2094,77.0,347010.333,seat-altea-2007-Diesel,0.631097561,seat,DieselLarge,18.5,0,1,0
171,2007,0.000333326,Benzin,1750,91.0,256634.9024,toyota-auris-2007-Benzin,0.799310345,toyota,BenzinSmall,14.1,1,0,0
172,2007,0.000320293,Benzin,1450,55.0,167611.9403,peugeot-206-2007-Benzin,0.742948718,peugeot,BenzinSmall,15.6,1,0,0
173,2007,0.000294622,Benzin,1275,49.0,105619.977,chevrolet-matiz-2007-Benzin,0.647486034,chevrolet,BenzinSmall,17.9,1,0,0
174,2007,0.000285538,Benzin,1580,71.0,143269.8048,kia-rio-2007-Benzin,0.685798817,kia,BenzinSmall,16.1,1,0,0
175,2007,0.000274875,Benzin,1765,89.0,218133.1803,chevrolet-nubira-2007-Benzin,0.90546875,chevrolet,BenzinSmall,13.3,1,0,0
176,2007,0.000262632,Benzin,1485,55.0,169694.6039,mazda-2-2007-Benzin,0.626486486,mazda,BenzinSmall,16.9,1,0,0
177,2007,0.000240516,Benzin,1810,85.0,318358.209,nissan-primera-2007-Benzin,0.858518519,nissan,BenzinSmall,13.9,1,0,0
178,2007,0.000232617,Diesel,2150,103.0,276684.271,hyundai-sonata-2007-Diesel,0.755474453,hyundai,DieselLarge,16.4,0,1,0
179,2007,0.000227088,Benzin,1900,92.0,402865.6716,volvo-v50-2007-Benzin,0.845985401,volvo,BenzinLarge,13.7,1,0,0
180,2007,0.000226693,Diesel,1880,103.0,398459.2423,audi-a3-2007-Diesel,0.507352941,audi,DieselSmall,19.6,0,1,0
181,2007,0.000221164,Benzin,1475,81.0,302960.9644,nissan-micra-2007-Benzin,0.728930818,nissan,BenzinSmall,15.2,1,0,0
182,2007,0.000220374,Diesel,1775,51.0,326063.1458,skoda-roomster-2007-Diesel,0.547619048,skoda,DieselSmall,18.9,0,1,0
183,2007,0.000219189,Diesel,1760,66.0,256634.9024,toyota-auris-2007-Diesel,0.5175,toyota,DieselSmall,20.0,0,1,0
184,2007,0.000217215,Diesel,1600,81.0,131483.3525,hyundai-getz-2007-Diesel,0.466216216,hyundai,DieselSmall,21.7,0,1,0
185,2007,0.00021287,Benzin,1650,89.0,195173.3639,chevrolet-lacetti-2007-Benzin,0.821985816,chevrolet,BenzinSmall,13.9,1,0,0
186,2007,0.000212475,Benzin,1336,46.0,114809.4145,hyundai-atos-2007-Benzin,0.636813187,hyundai,BenzinSmall,18.2,1,0,0
187,2007,0.000199837,Benzin,2094,75.0,347010.333,seat-altea-2007-Benzin,0.891538462,seat,BenzinLarge,12.9,1,0,0
188,2007,0.000198258,Benzin,1700,107.0,308863.3754,volvo-c30-2007-Benzin,0.81048951,volvo,BenzinSmall,14.3,1,0,0
189,2007,0.000193518,Benzin,1855,66.0,258369.69,opel-meriva-2007-Benzin,0.777852349,opel,BenzinLarge,14.9,1,0,0
190,2007,0.00018562,Benzin,1535,69.0,140498.2778,chevrolet-kalos-2007-Benzin,0.777852349,chevrolet,BenzinSmall,14.3,1,0,0
191,2007,0.000182855,Benzin,1775,72.0,229618.8289,mitsubishi-lancer-2007-Benzin,0.81048951,mitsubishi,BenzinSmall,11.5,1,0,0
