Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;peugeot-206-2006-Diesel;peugeot;206;1,4 HDI-3 DØRS;Small;DieselSmall;1728;0.000686494;169382.0093;130319.0339;1525;Diesel;50;93.71428571;9.767108;6.418575;0.447577093;10.16
2006;opel-vectra-2006-Benzin;opel;vectra;1,8;Large;BenzinLarge;1681;0.000667822;365832.9439;292682.0502;1950;Benzin;114;148.8571429;12.0888;8.462571429;0.85037594;11.31
2006;volkswagen-polo-2006-Benzin;volkswagen;polo;1,4;Small;BenzinSmall;1630;0.000647561;225464.9533;205886.2061;1575;Benzin;55;79.33333333;9.50796;6.457;0.729677419;11.31
2006;audi-a4-2006-Benzin;audi;a4;1,8 T;Large;BenzinLarge;1594;0.000633259;425296.729;390782.6206;2090;Benzin;147;138.3333333;11.516505;8.106112;1.047222222;11.31
2006;ford-mondeo-2006-Diesel;ford;mondeo;2,2 TDCRI;Small;DieselSmall;1537;0.000610614;329380.8411;316126.8823;2025;Diesel;0;137;12.242659;8.61198;0.608383234;10.16
2006;toyota-aygo-2006-Benzin;toyota;aygo;1,0 5-DØRS HB;Small;BenzinSmall;1486;0.000590353;147075.9346;124743.449;1200;Benzin;50;66;8.120574;5.5242;0.521198157;11.31
2006;skoda-fabia-2006-Diesel;skoda;fabia;1,4 TDI COMBI;Small;DieselSmall;1482;0.000588764;179901.8692;168617.2438;1700;Diesel;51;71.5;10.09635;6.963;0.502970297;10.16
2006;peugeot-207-2006-Benzin;peugeot;207;1,4 I 5 D;Small;BenzinSmall;1361;0.000540694;197422.8972;152599.6928;1670;Benzin;65;100.4285714;10.189452;6.9316;0.790909091;11.31
2006;mitsubishi-colt-2006-Benzin;mitsubishi;colt;1,5;Small;BenzinSmall;1347;0.000535132;182761.6822;151183.7744;1425;Benzin;80;110.4;10.19745;6.5382;0.621428571;11.31
2006;ford-focus-2006-Diesel;ford;focus;1,6 TDCI;Small;DieselSmall;1346;0.000534735;252219.6262;245233.0871;2000;Diesel;80;102.1818182;11.92596;8.218109091;0.590697674;10.16
2006;opel-corsa-2006-Benzin;opel;corsa;1,2;Small;BenzinSmall;1343;0.000533543;158919.3925;127766.6293;1585;Benzin;66;78;10.1916;6.737664;0.65755814;11.31
2006;volkswagen-passat-2006-Benzin;volkswagen;passat;1,6 FSI;Large;BenzinLarge;1280;0.000508514;378504.6729;347463.014;2000;Benzin;110;128.3333333;13.195728;8.657173611;0.934710744;11.31
2006;skoda-octavia-2006-Benzin;skoda;octavia;1,6 FSI;Small;BenzinSmall;1245;0.00049461;294391.3551;269177.5776;1800;Benzin;75;115.1428571;11.85601629;8.0889;0.80212766;11.31
2006;audi-a3-2006-Benzin;audi;a3;1,6;Small;BenzinSmall;1212;0.000481499;331744.1589;302181.6746;1800;Benzin;110;110.8;10.49664;7.499072;0.819565217;11.31
2006;fiat-panda-2006-Benzin;fiat;panda;1,2;Small;BenzinSmall;1209;0.000480308;122651.8692;109943.7125;1300;Benzin;44;60;8.613528;5.5932;0.631843575;11.31
2006;toyota-yaris-2006-Diesel;toyota;yaris;1,4 D - 4D 5 DØRS;Small;DieselSmall;1174;0.000466403;213572.4299;186677.5887;1525;Diesel;64;87.17647059;9.75375;6.379;0.457657658;10.16
2006;ford-ka-2006-Benzin;ford;ka;1,6 SPORT;Small;BenzinSmall;1153;0.00045806;116702.1028;111782.9745;1275;Benzin;51;70;8.083822;5.9006;0.669230769;11.31
2006;hyundai-matrix-2006-Benzin;hyundai;matrix;1,8;Small;BenzinSmall;1151;0.000457266;204432.243;162016.7153;1800;Benzin;90;106.5;11.471472;7.0035;0.825547445;11.31
2006;peugeot-207-2006-Diesel;peugeot;207;1,6 HDI 5 D;Small;DieselSmall;1144;0.000454485;197422.8972;152839.6928;1700;Diesel;50;100.4285714;10.189452;6.9316;0.457657658;10.16
2006;volvo-v70-2006-Benzin;volvo;v70;2,4;Large;BenzinLarge;1125;0.000446936;549759.3458;520093.6164;2100;Benzin;103;167.25;12.63222;8.48025;1.018918919;11.31
2006;nissan-primera-2006-Benzin;nissan;primera;1,6 STW;Large;BenzinLarge;1100;0.000437004;262850.4673;234903.75;1850;Benzin;85;111.8;12.190464;8.19808;0.813669065;11.31
2006;toyota-corolla-2006-Diesel;toyota;corolla;1,4D-4D STW;Large;DieselLarge;1064;0.000422702;254803.7383;228830.871;2160;Diesel;66;103.5;10.9432305;7.34445;0.638993711;10.16
2006;renault-scenic-2006-Benzin;renault;scenic;2,0 T 165 HK 7 P.;Large;BenzinLarge;1054;0.00041873;315419.3925;280449.5022;2175;Benzin;82;129;12.4635672;7.69356;0.92704918;11.31
2006;toyota-avensis-2006-Diesel;toyota;avensis;2,2 STW DIESEL D-4D;Small;DieselSmall;1038;0.000412373;403349.2991;351325.2055;1975;Diesel;110;139.3076923;12.060224;8.223261538;0.608383234;10.16
2006;chevrolet-nubira-2006-Benzin;chevrolet;nubira;1,6 STW;Small;BenzinSmall;1029;0.000408798;233640.1869;166965.3286;1765;Benzin;89;122;11.568164;7.9234;0.88359375;11.31
2006;audi-a4-2006-Diesel;audi;a4;2,0 TDI;Large;DieselLarge;1000;0.000397277;425296.729;391202.6206;2080;Diesel;103;138.3333333;11.617749;8.106112;0.655483871;10.16
2006;mazda-3-2006-Benzin;mazda;3;1,6 SEDAN;Small;BenzinSmall;993;0.000394496;256632.0093;187870.9188;1700;Benzin;110;132;11.537504;7.85312;0.80212766;11.31
2006;volvo-v50-2006-Benzin;volvo;v50;2,4 140 HK;Large;BenzinLarge;965;0.000383372;379082.9439;358378.2989;1900;Benzin;92;126.4;11.574915;7.98624;0.825547445;11.31
2006;nissan-micra-2006-Benzin;nissan;micra;1,2 3-DØRS;Small;BenzinSmall;940;0.00037344;165629.6729;146870.6713;1475;Benzin;48;65;9.509808;6.1752;0.669230769;11.31
2006;hyundai-sonata-2006-Benzin;hyundai;sonata;2,4 AUT.;Large;BenzinLarge;912;0.000362316;280367.9907;229212.0316;2125;Benzin;119;167.8;13.00032;8.784;1.142424242;11.31
2006;opel-meriva-2006-Benzin;opel;meriva;1,6;Large;BenzinLarge;902;0.000358344;279398.3645;224171.2655;1855;Benzin;77;93.33333333;11.08809;6.833233333;0.759060403;11.31
2006;honda-civic-2006-Benzin;honda;civic;1,8 I SPORT;Small;BenzinSmall;888;0.000352782;315359.8131;273604.9582;1750;Benzin;103;140;10.98285;7.515416667;0.734415584;11.31
2006;kia-rio-2006-Benzin;kia;rio;1,4 MPV;Small;BenzinSmall;831;0.000330137;157705.6075;134730.4281;1580;Benzin;71;97;9.97101;6.783;0.702484472;11.31
2006;renault-megane-2006-Benzin;renault;megane;1,6 16V;Small;BenzinSmall;779;0.000309479;265186.9159;236197.2693;1775;Benzin;82;120;11.13829067;7.843866667;0.87;11.31
2006;opel-zafira-2006-Benzin;opel;zafira;1,8;Large;BenzinLarge;733;0.000291204;416328.271;334769.9411;2175;Benzin;77;129;13.19544;8.046;0.92704918;11.31
2006;opel-zafira-2006-Diesel;opel;zafira;1,9 CDTI;Large;DieselLarge;629;0.000249887;416328.271;336269.9411;2195;Diesel;88;129;13.19544;8.046;0.608383234;10.16
2006;seat-leon-2006-Benzin;seat;leon;1,6;Large;BenzinLarge;617;0.00024512;256998.8318;232815.9663;1904;Benzin;75;116.3333333;11.163744;7.6464;0.919512195;11.31
2006;suzuki-sx4-2006-Benzin;suzuki;sx4;1,6;Small;BenzinSmall;597;0.000237174;233630.8411;191851.5119;1600;Benzin;79;107;11.06508;7.093;0.769387755;11.31
2006;chevrolet-kalos-2006-Benzin;chevrolet;kalos;1,4;Small;BenzinSmall;502;0.000199433;142516.3551;101501.0653;1455;Benzin;69;72;9.7194;6.4796;0.725;11.31
2006;ford-fusion-2006-Benzin;ford;fusion;1,6;Small;BenzinSmall;495;0.000196652;239484.8131;226092.6592;1600;Benzin;74;103;10.621688;6.8972;0.734415584;11.31
2006;volvo-s40-2006-Benzin;volvo;s40;1,6;Small;BenzinSmall;491;0.000195063;348125;329851.0953;1800;Benzin;92;108.5;11.472255;7.92075;0.813669065;11.31
2006;peugeot-partner-2006-Diesel;peugeot;partner;1,6 HDI;Small;DieselSmall;474;0.000188309;193022.1963;153386.6518;1875;Diesel;66;96.66666667;12.857516;7.109333333;0.549189189;10.16
2006;hyundai-sonata-2006-Diesel;hyundai;sonata;2,0 CRDI;Large;DieselLarge;469;0.000186323;280367.9907;223272.0316;2150;Diesel;103;167.8;13.00032;8.784;0.619512195;10.16
2006;opel-astra-2006-Diesel;opel;astra;1,7 CDTI;Small;DieselSmall;464;0.000184336;273586.4486;221765.4179;1835;Diesel;59;97.5;10.85875;7.555625;0.508;10.16
2006;seat-altea-2006-Diesel;seat;altea;2,0 TDI AUT.;Small;DieselSmall;449;0.000178377;313400.7009;280857.0162;2005;Diesel;77;103.5;11.893692;7.5756;0.555191257;10.16
2006;chevrolet-matiz-2006-Benzin;chevrolet;matiz;1,0;Small;BenzinSmall;445;0.000176788;124992.9907;88265.93098;1275;Benzin;38;51;7.8225;5.25;0.631843575;11.31
2006;audi-q7-2006-Diesel;audi;q7;3,0 TDI AUT.;Large;DieselLarge;433;0.000172021;1155310.748;1053566.582;2990;Diesel;171;233;17.536068;10.0782;1.069473684;10.16
2006;seat-ibiza-2006-Benzin;seat;ibiza;1,4;Small;BenzinSmall;406;0.000161294;168212.6168;150589.9625;1550;Benzin;63;80;9.6696;6.715;0.734415584;11.31
2006;opel-vectra-2006-Diesel;opel;vectra;1,9 CDTI;Small;DieselSmall;404;0.0001605;365832.9439;297122.0502;2000;Diesel;88;148.8571429;12.50042694;8.462571429;0.601183432;10.16
2006;audi-a3-2006-Diesel;audi;a3;1,9 TDI;Small;DieselSmall;402;0.000159705;331744.1589;302781.6746;1855;Diesel;77;110.8;10.721568;7.499072;0.502970297;10.16
2006;renault-clio-2006-Diesel;renault;clio;1,5 DCI 68 HK;Small;DieselSmall;392;0.000155732;134344.6262;120219.0321;1540;Diesel;50;60;8.872728;6.2484;0.436051502;10.16
2006;nissan-note-2006-Benzin;nissan;note;1,4;Small;BenzinSmall;389;0.000154541;244511.6822;216146.8825;1546;Benzin;81;110;10.68756;6.8952;0.711320755;11.31
2006;chevrolet-lacetti-2006-Benzin;chevrolet;lacetti;1,6;Small;BenzinSmall;387;0.000153746;186910.0467;134230.8546;1650;Benzin;70;93;10.78655;7.439;0.80212766;11.31
2006;renault-scenic-2006-Diesel;renault;scenic;1,5 DCI;Large;DieselLarge;373;0.000148184;315419.3925;281949.5022;2165;Diesel;78;112;12.4635672;7.69356;0.608383234;10.16
2006;hyundai-atos-2006-Benzin;hyundai;atos;1,1 SEDAN AUT.;Small;BenzinSmall;355;0.000141033;122661.215;94835.42772;1336;Benzin;46;62;8.495584;5.4112;0.621428571;11.31
2006;volkswagen-polo-2006-Diesel;volkswagen;polo;1,4 TDI;Small;DieselSmall;329;0.000130704;225464.9533;207626.2061;1650;Diesel;59;90;9.49179;6.457;0.457657658;10.16
2006;volkswagen-jetta-2006-Diesel;volkswagen;jetta;1,9 TDI;Small;DieselSmall;328;0.000130307;346959.1121;317164.6567;1950;Diesel;77;102.75;11.90553;8.03075;0.529166667;10.16
2006;volvo-s60-2006-Benzin;volvo;s60;2,4;Large;BenzinLarge;328;0.000130307;568925.2336;539254.6466;2000;Benzin;125;151.5;11.8404;8.28;1.077142857;11.31
2006;seat-leon-2006-Diesel;seat;leon;1,9 TDI;Small;DieselSmall;328;0.000130307;256998.8318;230475.9663;1875;Diesel;77;116.3333333;11.163744;7.6464;0.529166667;10.16
2006;volvo-xc90-2006-Diesel;volvo;xc90;D5 AUT AWD;Large;DieselLarge;316;0.000125539;1051865.654;998135.7925;2600;Diesel;136;185;15.78528;9.072;0.915315315;10.16
2006;hyundai-matrix-2006-Diesel;hyundai;matrix;1,5 CRDI;Small;DieselSmall;316;0.000125539;204432.243;162616.7153;1850;Diesel;81;106.5;11.500008;7.0035;0.537566138;10.16
2006;peugeot-partner-2006-Benzin;peugeot;partner;1,6;Large;BenzinLarge;297;0.000117991;193022.1963;150866.6518;1850;Benzin;0;96.66666667;12.888648;7.109333333;0.85037594;11.31
2006;volvo-v70-2006-Diesel;volvo;v70;D 5 AUT.;Large;DieselLarge;251;9.97E-05;549759.3458;527833.6164;2175;Diesel;136;167.25;12.63222;8.48025;0.8;10.16
2006;chevrolet-epica-2006-Benzin;chevrolet;epica;2,0;Large;BenzinLarge;227;9.02E-05;327096.9626;234051.9294;1985;Benzin;115;143;12.5976;8.688;1.047222222;11.31
2006;volkswagen-touran-2006-Benzin;volkswagen;touran;1,6 FSI;Large;BenzinLarge;226;8.98E-05;391352.8037;357350.1196;2150;Benzin;110;116.9230769;12.808703;7.860853846;0.88359375;11.31
2006;honda-accord-2006-Benzin;honda;accord;2,0 COMFORT;Large;BenzinLarge;216;8.58E-05;431017.5234;376166.6465;1925;Benzin;140;190;11.91784;8.2192;0.87;11.31
2006;seat-altea-2006-Benzin;seat;altea;1,6;Large;BenzinLarge;213;8.46E-05;313400.7009;279777.0162;1925;Benzin;75;103.5;11.893692;7.5756;0.876744186;11.31
2006;volvo-s80-2006-Benzin;volvo;s80;S80 2,5T;Large;BenzinLarge;200;7.95E-05;1401858.645;1308288.209;2160;Benzin;147;171.5;13.44129;9.021;1.11980198;11.31
2006;hyundai-tucson-2006-Benzin;hyundai;tucson;2,0  2WD;Large;BenzinLarge;197;7.83E-05;312471.9626;244292.3036;2050;Benzin;104;141;13.09392;7.794;0.9048;11.31
2006;volkswagen-jetta-2006-Benzin;volkswagen;jetta;2,0 FSI;Large;BenzinLarge;195;7.75E-05;346959.1121;316564.6567;1875;Benzin;75;102.75;12.012;8.03075;0.844029851;11.31
2006;hyundai-getz-2006-Diesel;hyundai;getz;1,5 CRDI;Small;DieselSmall;194;7.71E-05;128478.972;103928.288;1600;Diesel;65;84.2;9.47403984;6.358416;0.457657658;10.16
2006;ford-galaxy-2006-Diesel;ford;galaxy;2,0 TDCI;Large;DieselLarge;194;7.71E-05;605140.1869;571407.6752;2505;Diesel;96;130;15.33724;8.917;0.65974026;10.16
2006;skoda-roomster-2006-Benzin;skoda;roomster;1,6;Small;BenzinSmall;193;7.67E-05;248832.9439;227423.1905;1670;Benzin;77;82.75;11.387208;7.0644;0.769387755;11.31
2006;subaru-forester-2006-Benzin;subaru;forester;2,5 AWD AUT.;Large;BenzinLarge;164;6.52E-05;401424.0654;301630.5101;2000;Benzin;169;206;12.394368;7.7952;1.11980198;11.31
2006;opel-meriva-2006-Diesel;opel;meriva;1,3 CDTI;Small;DieselSmall;163;6.48E-05;279398.3645;226271.2655;1935;Diesel;55;93.33333333;11.11539289;6.833233333;0.529166667;10.16
2006;ford-fusion-2006-Diesel;ford;fusion;1,6 TDCI;Small;DieselSmall;160;6.36E-05;239484.8131;227832.6592;1650;Diesel;50;90;10.621688;6.8972;0.457657658;10.16
2006;fiat-punto-2006-Diesel;fiat;punto;1,3 JTD;Small;DieselSmall;156;6.20E-05;150287.3832;136928.4225;1665;Diesel;96;63.88888889;9.461409778;6.392844444;0.457657658;10.16
2006;renault-megane-2006-Diesel;renault;megane;1,5 DCI;Small;DieselSmall;152;6.04E-05;265186.9159;233497.2693;1850;Diesel;60;120;11.13829067;7.843866667;0.476995305;10.16
2006;bmw-3-serie-2006-Benzin;bmw;3-serie;330I COUPE AUT;Large;BenzinLarge;845;0.000335699;512843.4579;458031.3694;1875;Benzin;110;129;11.846016;8.2264;0.825547445;11.31
2006;ford-fiesta-2006-Diesel;ford;fiesta;1,6 TDCI;Small;DieselSmall;142;5.64E-05;151751.1682;145305.1796;1625;Diesel;66;83.33333333;9.529307062;6.607377778;0.447577093;10.16
